site,year,npp,ppt
dzh,1977,166,375.1
dzh,1978,193,357.5
dzh,1979,154,249.4
dzh,1980,144,327.8
dzh,1981,149,317.2
dzh,1982,155,244.2
dzh,1983,155,337.2
dzh,1984,125,169.8
dzh,1985,169.8,359.8
dzh,1986,145.3,238.5
dzh,1987,109,328.9
dzh,1988,150,269.5
dzh,1989,170.4,415
