site,year,npp,ppt
NRB,1984,272.6,510.2
NRB,1985,341.9,711
NRB,1986,300.6,997.3
NRB,1987,236.7,728.9
NRB,1988,302.6,1115.2
NRB,1989,178.7,984.8
NRB,1990,172.1,857.4
NRB,1991,142.2,722
NRB,1992,210.2,847.5
NRB,1993,212.1,836.3
NRB,1994,234.2,877.8
