site,year,npp,ppt
tmg,1981,129.01,412.2
tmg,1982,45.12,174
tmg,1983,95.43,390.6
tmg,1984,145.22,399.3
tmg,1985,190.17,448.1
tmg,1986,156.98,470.3
tmg,1987,146.03,407.4
tmg,1988,224.86,552.1
tmg,1989,157.36,358.3
tmg,1990,225.76,497.1
