site,year,npp,ppt
NMG,1998,151.49,507
NMG,1999,79.21,332
NMG,2000,126.44,314.1
NMG,2001,168.97,286.1
NMG,2002,269.54,259.5
NMG,2003,218.35,371
NMG,2004,197.5,324.6
NMG,2005,156.46,166
NMG,2006,118.4,304.1
NMG,2007,167.76,240.1
NMG,2008,185.38,362.2
NMG,2009,82.44,281.4
NMG,2010,172.68,318.6
NMG,2011,221.72,286.7
