year	site	sr	mix.nest	level	spatialCV
1	Switzerland	8	88	Species	41.6
1	Switzerland	8	88	Species	4.1
1	Switzerland	8	88	Species	40.5
1	Switzerland	8	88	Species	141.4
1	Switzerland	8	88	Species	124.0
1	Switzerland	8	88	Species	87.8
1	Switzerland	1	89	Species	52.7
1	Greece	1	92	Species	79.3
1	Greece	2	102	Species	141.4
1	Greece	2	102	Species	141.4
1	Greece	4	103	Species	46.0
1	Greece	4	105	Species	141.4
1	Greece	4	106	Species	141.4
1	Greece	8	108	Species	141.4
1	Greece	8	109	Species	57.5
1	Greece	8	109	Species	84.0
1	Greece	8	110	Species	3.7
1	Greece	8	110	Species	136.9
1	Greece	18	112	Species	107.5
1	Greece	18	112	Species	141.4
1	Greece	18	112	Species	117.6
1	Greece	18	113	Species	23.2
1	Greece	18	113	Species	71.6
1	Greece	18	113	Species	137.2
1	Greece	18	114	Species	65.1
1	Greece	18	114	Species	141.4
1	Greece	18	114	Species	141.4
1	Greece	18	115	Species	141.4
1	Greece	18	115	Species	10.0
1	Ireland	1	116	Species	38.7
1	Ireland	1	117	Species	12.9
1	Ireland	1	118	Species	42.8
1	Ireland	1	119	Species	35.1
1	Ireland	1	120	Species	35.6
1	Ireland	1	121	Species	12.9
1	Ireland	1	122	Species	21.4
1	Ireland	1	123	Species	27.0
1	Ireland	1	124	Species	93.3
1	Ireland	1	125	Species	51.8
1	Ireland	2	126	Species	81.4
1	Ireland	2	126	Species	8.2
1	Ireland	2	127	Species	15.5
1	Ireland	2	127	Species	6.1
1	Ireland	2	128	Species	21.6
1	Ireland	2	128	Species	131.3
1	Ireland	2	129	Species	14.3
1	Ireland	2	129	Species	20.2
1	Ireland	2	130	Species	14.1
1	Ireland	2	130	Species	109.0
1	Ireland	2	131	Species	42.6
1	Ireland	2	131	Species	17.2
1	Ireland	2	132	Species	141.4
1	Ireland	2	132	Species	141.4
1	Ireland	2	133	Species	14.5
1	Ireland	2	133	Species	12.1
1	Ireland	3	134	Species	19.6
1	Ireland	3	134	Species	84.9
1	Ireland	3	134	Species	5.7
1	Ireland	3	135	Species	64.3
1	Ireland	3	135	Species	42.7
1	Ireland	3	135	Species	39.3
1	Ireland	4	136	Species	12.7
1	Ireland	4	136	Species	42.6
1	Ireland	4	136	Species	18.4
1	Ireland	4	136	Species	38.4
1	Ireland	4	137	Species	30.4
1	Ireland	4	137	Species	28.6
1	Ireland	4	137	Species	90.0
1	Ireland	4	137	Species	60.6
1	Ireland	4	138	Species	85.2
1	Ireland	4	138	Species	20.3
1	Ireland	4	138	Species	120.5
1	Ireland	4	138	Species	125.7
1	Ireland	4	139	Species	18.3
1	Ireland	4	139	Species	123.2
1	Ireland	4	139	Species	38.4
1	Ireland	4	139	Species	60.6
1	Ireland	4	140	Species	51.3
1	Ireland	4	140	Species	113.4
1	Ireland	4	140	Species	141.4
1	Ireland	4	140	Species	28.3
1	Ireland	4	141	Species	39.1
1	Ireland	4	141	Species	20.7
1	Ireland	4	141	Species	47.1
1	Ireland	4	141	Species	23.8
1	Ireland	4	142	Species	141.4
1	Ireland	4	142	Species	141.4
1	Ireland	4	142	Species	141.4
1	Ireland	4	142	Species	141.4
1	Ireland	4	143	Species	28.1
1	Ireland	4	143	Species	121.9
1	Ireland	4	143	Species	27.7
1	Ireland	4	143	Species	45.1
1	Ireland	4	144	Species	110.0
1	Ireland	4	144	Species	72.3
1	Ireland	4	144	Species	41.3
1	Ireland	4	144	Species	68.9
1	Ireland	8	145	Species	32.6
1	Ireland	8	145	Species	47.1
1	Ireland	8	145	Species	7.8
1	Ireland	8	145	Species	33.9
1	Ireland	8	145	Species	52.1
1	Ireland	8	145	Species	64.1
1	Ireland	8	145	Species	70.7
1	Ireland	8	145	Species	0.0
1	Ireland	8	146	Species	54.8
1	Ireland	8	146	Species	52.6
1	Ireland	8	146	Species	71.9
1	Ireland	8	146	Species	37.3
1	Ireland	8	146	Species	29.4
1	Ireland	8	146	Species	0.0
1	Ireland	8	146	Species	0.0
1	Ireland	8	147	Species	103.2
1	Ireland	8	147	Species	67.8
1	Ireland	8	147	Species	43.9
1	Ireland	8	147	Species	50.3
1	Ireland	8	147	Species	152.7
1	Ireland	8	147	Species	110.8
1	Ireland	8	147	Species	115.5
1	Ireland	8	147	Species	73.3
1	Ireland	8	148	Species	91.0
1	Ireland	8	148	Species	117.2
1	Ireland	8	148	Species	42.5
1	Ireland	8	148	Species	141.4
1	Ireland	8	148	Species	125.7
1	Ireland	8	148	Species	94.3
1	Sweden	1	149	Species	67.9
1	Sweden	1	150	Species	6.4
1	Sweden	1	151	Species	31.9
1	Sweden	1	152	Species	141.4
1	Sweden	1	153	Species	141.4
1	Sweden	1	154	Species	36.8
1	Sweden	1	155	Species	23.4
1	Sweden	1	157	Species	65.7
1	Sweden	1	158	Species	64.6
1	Sweden	1	159	Species	141.4
1	Sweden	2	161	Species	113.1
1	Sweden	2	161	Species	28.3
1	Sweden	2	162	Species	141.4
1	Sweden	2	162	Species	15.1
1	Sweden	2	163	Species	62.5
1	Sweden	2	165	Species	101.0
1	Sweden	2	165	Species	120.1
1	Sweden	4	167	Species	77.4
1	Sweden	4	167	Species	36.0
1	Sweden	4	168	Species	141.4
1	Sweden	4	169	Species	23.2
1	Sweden	4	169	Species	141.4
1	Sweden	4	169	Species	141.4
1	Sweden	4	169	Species	72.6
1	Sweden	4	170	Species	3.3
1	Sweden	4	170	Species	67.0
1	Sweden	4	170	Species	58.9
1	Sweden	4	171	Species	102.3
1	Sweden	4	171	Species	60.6
1	Sweden	4	171	Species	132.5
1	Sweden	4	171	Species	65.5
1	Sweden	8	173	Species	17.3
1	Sweden	8	173	Species	141.4
1	Sweden	8	173	Species	141.4
1	Sweden	8	174	Species	9.4
1	Sweden	8	174	Species	141.4
1	Sweden	8	174	Species	63.0
1	Sweden	8	174	Species	12.9
1	Sweden	8	175	Species	40.9
1	Sweden	8	175	Species	8.6
1	Sweden	12	176	Species	81.0
1	Sweden	12	176	Species	200.0
1	Sweden	12	176	Species	200.0
1	Sweden	12	176	Species	200.0
1	Sweden	12	176	Species	135.8
1	Sweden	12	176	Species	63.2
1	Sweden	12	176	Species	60.8
1	Sheffield	1	177	Species	0.8
1	Sheffield	1	178	Species	0.0
1	Sheffield	1	179	Species	4.1
1	Sheffield	1	180	Species	21.6
1	Sheffield	1	181	Species	9.3
1	Sheffield	1	182	Species	24.2
1	Sheffield	1	183	Species	13.4
1	Sheffield	1	184	Species	1.2
1	Sheffield	1	185	Species	0.0
1	Sheffield	1	186	Species	27.4
1	Sheffield	1	187	Species	47.1
1	Sheffield	1	188	Species	53.0
1	Sheffield	2	189	Species	19.3
1	Sheffield	2	189	Species	29.5
1	Sheffield	2	190	Species	3.0
1	Sheffield	2	190	Species	20.5
1	Sheffield	2	191	Species	6.7
1	Sheffield	2	191	Species	0.2
1	Sheffield	2	192	Species	0.9
1	Sheffield	2	192	Species	12.9
1	Sheffield	2	193	Species	20.2
1	Sheffield	2	193	Species	3.6
1	Sheffield	4	194	Species	6.4
1	Sheffield	4	194	Species	0.0
1	Sheffield	4	194	Species	8.1
1	Sheffield	4	194	Species	10.6
1	Sheffield	4	195	Species	1.0
1	Sheffield	4	195	Species	16.7
1	Sheffield	4	195	Species	108.1
1	Sheffield	4	195	Species	5.8
1	Sheffield	4	196	Species	30.4
1	Sheffield	4	196	Species	8.3
1	Sheffield	4	196	Species	104.5
1	Sheffield	4	196	Species	1.8
1	Sheffield	4	197	Species	53.6
1	Sheffield	4	197	Species	0.0
1	Sheffield	4	197	Species	5.1
1	Sheffield	4	197	Species	4.4
1	Sheffield	8	198	Species	40.4
1	Sheffield	8	198	Species	28.3
1	Sheffield	8	198	Species	0.0
1	Sheffield	8	198	Species	24.2
1	Sheffield	8	198	Species	115.7
1	Sheffield	8	198	Species	102.4
1	Sheffield	8	198	Species	8.1
1	Sheffield	8	198	Species	36.4
1	Sheffield	8	199	Species	23.6
1	Sheffield	8	199	Species	12.9
1	Sheffield	8	199	Species	2.2
1	Sheffield	8	199	Species	115.7
1	Sheffield	8	199	Species	49.7
1	Sheffield	8	199	Species	121.7
1	Sheffield	8	199	Species	20.7
1	Sheffield	8	199	Species	21.7
1	Sheffield	8	200	Species	90.0
1	Sheffield	8	200	Species	70.7
1	Sheffield	8	200	Species	0.0
1	Sheffield	8	200	Species	141.4
1	Sheffield	8	200	Species	7.7
1	Sheffield	8	200	Species	121.7
1	Sheffield	8	200	Species	6.1
1	Sheffield	8	200	Species	17.1
1	Sheffield	8	201	Species	8.3
1	Sheffield	8	201	Species	0.0
1	Sheffield	8	201	Species	15.7
1	Sheffield	8	201	Species	0.0
1	Sheffield	8	201	Species	33.1
1	Sheffield	8	201	Species	22.7
1	Sheffield	8	201	Species	20.7
1	Sheffield	8	201	Species	33.1
1	Sheffield	12	202	Species	21.5
1	Sheffield	12	202	Species	11.6
1	Sheffield	12	202	Species	55.7
1	Sheffield	12	202	Species	20.4
1	Sheffield	12	202	Species	54.7
1	Sheffield	12	202	Species	0.0
1	Sheffield	12	202	Species	17.5
1	Sheffield	12	202	Species	85.6
1	Sheffield	12	202	Species	34.7
1	Sheffield	12	202	Species	92.1
1	Sheffield	12	202	Species	24.0
1	Sheffield	12	202	Species	26.0
1	Silwood	1	203	Species	19.6
1	Silwood	1	204	Species	40.2
1	Silwood	1	205	Species	17.7
1	Silwood	1	206	Species	53.2
1	Silwood	1	207	Species	1.4
1	Silwood	2	208	Species	94.6
1	Silwood	2	208	Species	61.1
1	Silwood	1	209	Species	14.1
1	Silwood	1	210	Species	103.3
1	Silwood	1	211	Species	39.5
1	Silwood	1	212	Species	15.6
1	Silwood	1	213	Species	6.1
1	Silwood	1	214	Species	45.2
1	Silwood	2	215	Species	85.6
1	Silwood	2	215	Species	7.5
1	Silwood	2	216	Species	40.2
1	Silwood	2	216	Species	139.9
1	Silwood	2	217	Species	19.5
1	Silwood	2	217	Species	19.4
1	Silwood	2	218	Species	5.4
1	Silwood	2	218	Species	22.8
1	Silwood	2	219	Species	1.5
1	Silwood	2	219	Species	29.2
1	Silwood	4	220	Species	35.1
1	Silwood	4	220	Species	64.1
1	Silwood	4	220	Species	30.5
1	Silwood	4	220	Species	94.7
1	Silwood	4	221	Species	72.4
1	Silwood	4	221	Species	88.6
1	Silwood	4	221	Species	12.0
1	Silwood	4	221	Species	61.5
1	Silwood	4	222	Species	55.3
1	Silwood	4	222	Species	9.2
1	Silwood	4	222	Species	73.8
1	Silwood	4	222	Species	125.3
1	Silwood	4	223	Species	36.9
1	Silwood	4	223	Species	45.1
1	Silwood	4	223	Species	50.1
1	Silwood	4	223	Species	75.6
1	Silwood	4	224	Species	133.4
1	Silwood	4	224	Species	106.5
1	Silwood	4	224	Species	79.8
1	Silwood	4	224	Species	66.5
1	Silwood	4	225	Species	12.7
1	Silwood	4	225	Species	141.4
1	Silwood	4	225	Species	141.4
1	Silwood	4	225	Species	128.4
1	Silwood	8	226	Species	61.9
1	Silwood	8	226	Species	15.7
1	Silwood	8	226	Species	104.9
1	Silwood	8	226	Species	70.1
1	Silwood	8	226	Species	1.6
1	Silwood	8	226	Species	23.0
1	Silwood	8	226	Species	72.0
1	Silwood	8	226	Species	76.7
1	Silwood	8	227	Species	117.3
1	Silwood	8	227	Species	5.7
1	Silwood	8	227	Species	30.9
1	Silwood	8	227	Species	30.4
1	Silwood	8	227	Species	38.4
1	Silwood	8	227	Species	141.4
1	Silwood	8	227	Species	26.9
1	Silwood	8	227	Species	130.9
1	Silwood	8	228	Species	126.4
1	Silwood	8	228	Species	4.9
1	Silwood	8	228	Species	137.0
1	Silwood	8	228	Species	53.4
1	Silwood	8	228	Species	58.2
1	Silwood	8	228	Species	82.5
1	Silwood	8	228	Species	106.1
1	Silwood	8	228	Species	42.3
1	Silwood	8	229	Species	139.7
1	Silwood	8	229	Species	127.3
1	Silwood	8	229	Species	35.5
1	Silwood	8	229	Species	141.4
1	Silwood	8	229	Species	76.4
1	Silwood	8	229	Species	38.6
1	Silwood	8	229	Species	35.4
1	Silwood	8	229	Species	56.8
1	Silwood	8	230	Species	25.1
1	Silwood	8	230	Species	133.9
1	Silwood	8	230	Species	42.5
1	Silwood	8	230	Species	32.1
1	Silwood	8	230	Species	29.2
1	Silwood	8	230	Species	141.4
1	Silwood	8	230	Species	104.5
1	Silwood	8	230	Species	109.6
1	Silwood	11	231	Species	138.6
1	Silwood	11	231	Species	141.4
1	Silwood	11	231	Species	32.6
1	Silwood	11	231	Species	19.2
1	Silwood	11	231	Species	131.3
1	Silwood	11	231	Species	141.4
1	Silwood	11	231	Species	78.6
1	Silwood	11	231	Species	23.5
1	Silwood	11	231	Species	136.5
1	Silwood	11	231	Species	60.6
1	Silwood	11	232	Species	129.4
1	Silwood	11	232	Species	107.1
1	Silwood	11	232	Species	23.6
1	Silwood	11	232	Species	5.4
1	Silwood	11	232	Species	28.1
1	Silwood	11	232	Species	56.1
1	Silwood	11	232	Species	41.6
1	Silwood	11	232	Species	141.4
1	Silwood	11	233	Species	16.8
1	Silwood	11	233	Species	21.5
1	Silwood	11	233	Species	7.8
1	Silwood	11	233	Species	82.6
1	Silwood	11	233	Species	100.8
1	Silwood	11	233	Species	71.1
1	Silwood	11	233	Species	127.1
1	Silwood	11	233	Species	17.8
1	Silwood	11	233	Species	119.2
1	Silwood	11	233	Species	56.3
1	Silwood	11	233	Species	141.4
1	Silwood	11	234	Species	141.4
1	Silwood	11	234	Species	65.6
1	Silwood	11	234	Species	26.0
1	Silwood	11	234	Species	15.7
1	Silwood	11	234	Species	65.5
1	Silwood	11	234	Species	141.4
1	Silwood	11	234	Species	11.5
1	Silwood	11	234	Species	141.4
1	Silwood	11	234	Species	75.9
1	Silwood	11	234	Species	127.1
1	Silwood	11	235	Species	44.0
1	Silwood	11	235	Species	44.3
1	Silwood	11	235	Species	5.2
1	Silwood	11	235	Species	70.1
1	Silwood	11	235	Species	53.2
1	Silwood	11	235	Species	72.0
1	Silwood	11	235	Species	16.6
1	Silwood	11	235	Species	32.8
2	Germany	1	1	Species	32.4
2	Germany	1	2	Species	0.6
2	Germany	1	3	Species	16.5
2	Germany	1	4	Species	19.9
2	Germany	1	5	Species	23.6
2	Germany	1	6	Species	31.6
2	Germany	1	7	Species	10.2
2	Germany	1	8	Species	8.0
2	Germany	1	9	Species	16.5
2	Germany	1	10	Species	18.7
2	Germany	2	11	Species	112.7
2	Germany	2	11	Species	21.5
2	Germany	2	12	Species	92.8
2	Germany	2	12	Species	4.8
2	Germany	2	13	Species	26.6
2	Germany	2	13	Species	98.9
2	Germany	2	14	Species	130.5
2	Germany	2	14	Species	2.8
2	Germany	2	15	Species	14.1
2	Germany	2	15	Species	4.2
2	Germany	2	16	Species	85.9
2	Germany	2	16	Species	31.5
2	Germany	2	17	Species	6.5
2	Germany	2	17	Species	126.5
2	Germany	4	18	Species	14.1
2	Germany	4	18	Species	4.9
2	Germany	4	18	Species	5.4
2	Germany	4	18	Species	11.0
2	Germany	4	19	Species	27.9
2	Germany	4	19	Species	23.0
2	Germany	4	19	Species	88.2
2	Germany	4	19	Species	10.5
2	Germany	4	20	Species	34.3
2	Germany	4	20	Species	18.3
2	Germany	4	20	Species	14.2
2	Germany	4	20	Species	5.0
2	Germany	4	21	Species	40.9
2	Germany	4	21	Species	1.0
2	Germany	4	21	Species	44.2
2	Germany	4	21	Species	16.0
2	Germany	4	22	Species	70.7
2	Germany	4	22	Species	35.2
2	Germany	4	22	Species	17.7
2	Germany	8	23	Species	86.1
2	Germany	8	23	Species	21.3
2	Germany	8	23	Species	19.6
2	Germany	8	23	Species	3.8
2	Germany	8	23	Species	49.5
2	Germany	8	23	Species	81.8
2	Germany	8	23	Species	22.1
2	Germany	8	23	Species	86.8
2	Germany	8	24	Species	1.4
2	Germany	8	24	Species	3.0
2	Germany	8	24	Species	35.4
2	Germany	8	24	Species	63.5
2	Germany	8	24	Species	131.3
2	Germany	8	24	Species	141.4
2	Germany	8	24	Species	44.3
2	Germany	8	24	Species	76.7
2	Germany	8	25	Species	28.3
2	Germany	8	25	Species	36.4
2	Germany	8	25	Species	61.4
2	Germany	8	25	Species	69.7
2	Germany	8	25	Species	23.5
2	Germany	8	25	Species	5.0
2	Germany	8	25	Species	38.6
2	Germany	8	26	Species	46.6
2	Germany	8	26	Species	34.3
2	Germany	8	26	Species	79.9
2	Germany	8	26	Species	80.1
2	Germany	8	26	Species	72.6
2	Germany	8	26	Species	75.8
2	Germany	8	26	Species	13.8
2	Germany	8	27	Species	30.7
2	Germany	8	27	Species	21.4
2	Germany	8	27	Species	4.2
2	Germany	8	27	Species	22.2
2	Germany	8	27	Species	95.9
2	Germany	8	27	Species	7.8
2	Germany	8	27	Species	136.9
2	Germany	16	28	Species	94.9
2	Germany	16	28	Species	141.4
2	Germany	16	28	Species	141.4
2	Germany	16	28	Species	39.7
2	Germany	16	28	Species	141.4
2	Germany	16	28	Species	41.1
2	Germany	16	28	Species	140.7
2	Germany	16	28	Species	81.4
2	Germany	16	28	Species	81.9
2	Germany	16	28	Species	141.4
2	Germany	16	28	Species	116.1
2	Germany	16	28	Species	60.1
2	Germany	16	28	Species	120.1
2	Germany	16	29	Species	69.4
2	Germany	16	29	Species	11.7
2	Germany	16	29	Species	31.7
2	Germany	16	29	Species	109.3
2	Germany	16	29	Species	141.4
2	Germany	16	29	Species	79.2
2	Germany	16	29	Species	15.9
2	Germany	16	29	Species	75.6
2	Germany	16	29	Species	141.4
2	Germany	16	29	Species	141.4
2	Germany	16	29	Species	141.4
2	Germany	16	29	Species	3.4
2	Germany	16	29	Species	141.4
2	Germany	16	30	Species	54.6
2	Germany	16	30	Species	141.4
2	Germany	16	30	Species	85.4
2	Germany	16	30	Species	53.6
2	Germany	16	30	Species	132.8
2	Germany	16	30	Species	141.4
2	Germany	16	30	Species	25.7
2	Germany	16	30	Species	1.8
2	Germany	16	30	Species	82.3
2	Germany	16	30	Species	73.9
2	Germany	16	30	Species	38.5
2	Germany	16	30	Species	100.3
2	Germany	16	30	Species	141.4
2	Portugal	1	31	Species	29.2
2	Portugal	1	32	Species	19.2
2	Portugal	1	33	Species	5.5
2	Portugal	1	34	Species	131.7
2	Portugal	1	35	Species	4.9
2	Portugal	1	36	Species	23.1
2	Portugal	1	37	Species	26.7
2	Portugal	1	38	Species	1.6
2	Portugal	1	39	Species	109.2
2	Portugal	1	40	Species	9.1
2	Portugal	1	41	Species	56.2
2	Portugal	1	42	Species	141.4
2	Portugal	1	44	Species	21.4
2	Portugal	2	45	Species	30.7
2	Portugal	2	46	Species	20.1
2	Portugal	2	46	Species	64.0
2	Portugal	2	47	Species	80.1
2	Portugal	2	47	Species	108.4
2	Portugal	2	48	Species	23.7
2	Portugal	2	48	Species	53.9
2	Portugal	2	49	Species	66.7
2	Portugal	2	49	Species	91.1
2	Portugal	4	50	Species	27.0
2	Portugal	4	50	Species	13.9
2	Portugal	4	51	Species	64.7
2	Portugal	4	51	Species	44.4
2	Portugal	4	52	Species	44.4
2	Portugal	4	52	Species	141.4
2	Portugal	4	52	Species	0.7
2	Portugal	4	53	Species	53.1
2	Portugal	4	53	Species	141.4
2	Portugal	4	53	Species	141.4
2	Portugal	4	53	Species	141.4
2	Portugal	4	54	Species	74.7
2	Portugal	4	54	Species	73.3
2	Portugal	8	55	Species	117.2
2	Portugal	8	55	Species	134.3
2	Portugal	8	55	Species	141.4
2	Portugal	8	55	Species	92.6
2	Portugal	8	55	Species	141.4
2	Portugal	8	55	Species	141.4
2	Portugal	8	56	Species	141.4
2	Portugal	8	56	Species	32.0
2	Portugal	8	56	Species	141.4
2	Portugal	8	56	Species	125.2
2	Portugal	8	56	Species	141.4
2	Portugal	14	57	Species	92.9
2	Portugal	14	57	Species	140.7
2	Portugal	14	57	Species	62.8
2	Portugal	14	57	Species	151.4
2	Portugal	14	57	Species	148.5
2	Portugal	14	57	Species	55.8
2	Portugal	14	57	Species	200.0
2	Portugal	14	57	Species	118.2
2	Portugal	14	57	Species	86.7
2	Switzerland	1	58	Species	19.2
2	Switzerland	1	59	Species	7.5
2	Switzerland	1	60	Species	0.9
2	Switzerland	1	61	Species	16.0
2	Switzerland	1	62	Species	17.5
2	Switzerland	1	63	Species	28.0
2	Switzerland	4	64	Species	22.3
2	Switzerland	4	64	Species	138.1
2	Switzerland	4	64	Species	19.4
2	Switzerland	4	64	Species	12.9
2	Switzerland	4	65	Species	53.1
2	Switzerland	4	65	Species	42.3
2	Switzerland	4	65	Species	13.7
2	Switzerland	4	65	Species	19.5
2	Switzerland	4	66	Species	104.6
2	Switzerland	4	66	Species	40.2
2	Switzerland	4	66	Species	19.9
2	Switzerland	4	66	Species	32.8
2	Switzerland	8	67	Species	19.7
2	Switzerland	8	67	Species	18.1
2	Switzerland	8	67	Species	27.3
2	Switzerland	8	67	Species	63.6
2	Switzerland	8	67	Species	141.4
2	Switzerland	8	67	Species	72.3
2	Switzerland	8	67	Species	48.6
2	Switzerland	8	67	Species	66.4
2	Switzerland	4	68	Species	4.1
2	Switzerland	4	68	Species	43.5
2	Switzerland	4	68	Species	62.1
2	Switzerland	4	68	Species	74.0
2	Switzerland	8	69	Species	47.1
2	Switzerland	8	69	Species	14.3
2	Switzerland	8	69	Species	39.1
2	Switzerland	8	69	Species	22.1
2	Switzerland	8	69	Species	0.0
2	Switzerland	8	69	Species	141.4
2	Switzerland	8	69	Species	70.3
2	Switzerland	2	70	Species	69.6
2	Switzerland	2	70	Species	16.8
2	Switzerland	2	71	Species	27.5
2	Switzerland	2	71	Species	9.6
2	Switzerland	2	72	Species	70.0
2	Switzerland	2	72	Species	6.5
2	Switzerland	4	73	Species	53.6
2	Switzerland	4	73	Species	117.9
2	Switzerland	4	73	Species	122.3
2	Switzerland	4	73	Species	24.3
2	Switzerland	4	74	Species	125.3
2	Switzerland	4	74	Species	43.4
2	Switzerland	4	74	Species	87.6
2	Switzerland	4	74	Species	16.3
2	Switzerland	2	75	Species	60.2
2	Switzerland	2	75	Species	130.4
2	Switzerland	8	76	Species	123.3
2	Switzerland	8	76	Species	38.2
2	Switzerland	8	76	Species	11.4
2	Switzerland	8	76	Species	17.4
2	Switzerland	8	76	Species	141.4
2	Switzerland	8	76	Species	60.6
2	Switzerland	8	76	Species	86.2
2	Switzerland	8	76	Species	24.9
2	Switzerland	32	77	Species	141.4
2	Switzerland	32	77	Species	79.1
2	Switzerland	32	77	Species	27.7
2	Switzerland	32	77	Species	28.3
2	Switzerland	32	77	Species	115.7
2	Switzerland	32	77	Species	47.5
2	Switzerland	32	77	Species	135.8
2	Switzerland	32	77	Species	90.5
2	Switzerland	32	77	Species	54.2
2	Switzerland	32	77	Species	141.4
2	Switzerland	32	77	Species	66.3
2	Switzerland	32	77	Species	141.4
2	Switzerland	32	77	Species	30.7
2	Switzerland	32	77	Species	120.5
2	Switzerland	32	77	Species	46.2
2	Switzerland	32	77	Species	141.4
2	Switzerland	32	77	Species	141.4
2	Switzerland	32	77	Species	104.9
2	Switzerland	32	77	Species	41.6
2	Switzerland	32	77	Species	24.7
2	Switzerland	32	77	Species	8.6
2	Switzerland	32	77	Species	117.2
2	Switzerland	2	78	Species	45.1
2	Switzerland	2	78	Species	20.9
2	Switzerland	8	79	Species	76.8
2	Switzerland	8	79	Species	74.8
2	Switzerland	8	79	Species	6.3
2	Switzerland	8	79	Species	48.7
2	Switzerland	8	79	Species	4.7
2	Switzerland	8	79	Species	141.4
2	Switzerland	8	79	Species	139.2
2	Switzerland	8	79	Species	133.5
2	Switzerland	2	80	Species	55.6
2	Switzerland	2	80	Species	2.7
2	Switzerland	4	81	Species	9.8
2	Switzerland	4	81	Species	138.5
2	Switzerland	4	81	Species	102.0
2	Switzerland	4	81	Species	63.0
2	Switzerland	1	82	Species	6.9
2	Switzerland	2	83	Species	11.9
2	Switzerland	2	83	Species	0.2
2	Switzerland	1	84	Species	37.7
2	Switzerland	32	85	Species	140.3
2	Switzerland	32	85	Species	1.7
2	Switzerland	32	85	Species	76.2
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	17.7
2	Switzerland	32	85	Species	110.4
2	Switzerland	32	85	Species	43.0
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	123.2
2	Switzerland	32	85	Species	60.4
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	12.1
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	35.4
2	Switzerland	32	85	Species	101.5
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	141.4
2	Switzerland	32	85	Species	114.7
2	Switzerland	32	85	Species	107.6
2	Switzerland	32	85	Species	115.7
2	Switzerland	32	85	Species	123.8
2	Switzerland	32	85	Species	98.5
2	Switzerland	1	86	Species	51.3
2	Switzerland	4	87	Species	140.7
2	Switzerland	4	87	Species	16.0
2	Switzerland	4	87	Species	114.6
2	Switzerland	4	87	Species	27.9
2	Switzerland	8	88	Species	114.9
2	Switzerland	8	88	Species	33.2
2	Switzerland	8	88	Species	112.7
2	Switzerland	8	88	Species	92.2
2	Switzerland	8	88	Species	11.9
2	Switzerland	8	88	Species	90.0
2	Switzerland	8	88	Species	60.6
2	Switzerland	8	88	Species	9.1
2	Switzerland	1	89	Species	60.1
2	Greece	1	90	Species	1.4
2	Greece	1	91	Species	34.4
2	Greece	1	92	Species	18.0
2	Greece	1	93	Species	14.9
2	Greece	1	94	Species	21.5
2	Greece	1	95	Species	3.8
2	Greece	1	96	Species	73.4
2	Greece	2	97	Species	65.7
2	Greece	2	97	Species	19.5
2	Greece	2	98	Species	47.2
2	Greece	2	98	Species	50.1
2	Greece	2	99	Species	31.5
2	Greece	2	99	Species	105.7
2	Greece	2	100	Species	35.2
2	Greece	2	100	Species	8.3
2	Greece	2	101	Species	69.9
2	Greece	2	101	Species	65.0
2	Greece	2	102	Species	112.0
2	Greece	2	102	Species	55.6
2	Greece	4	103	Species	60.7
2	Greece	4	103	Species	72.5
2	Greece	4	103	Species	9.3
2	Greece	4	103	Species	82.6
2	Greece	4	104	Species	13.4
2	Greece	4	104	Species	7.2
2	Greece	4	104	Species	6.9
2	Greece	4	104	Species	22.0
2	Greece	4	105	Species	113.1
2	Greece	4	105	Species	124.6
2	Greece	4	105	Species	71.5
2	Greece	4	105	Species	84.9
2	Greece	4	106	Species	58.1
2	Greece	4	106	Species	8.0
2	Greece	4	106	Species	27.6
2	Greece	4	106	Species	83.7
2	Greece	4	107	Species	57.1
2	Greece	4	107	Species	7.4
2	Greece	4	107	Species	50.2
2	Greece	4	107	Species	79.5
2	Greece	8	108	Species	15.1
2	Greece	8	108	Species	13.9
2	Greece	8	108	Species	32.2
2	Greece	8	108	Species	29.5
2	Greece	8	108	Species	112.4
2	Greece	8	108	Species	67.0
2	Greece	8	108	Species	47.1
2	Greece	8	108	Species	21.9
2	Greece	8	109	Species	50.8
2	Greece	8	109	Species	47.1
2	Greece	8	109	Species	63.9
2	Greece	8	109	Species	78.1
2	Greece	8	109	Species	24.7
2	Greece	8	109	Species	141.4
2	Greece	8	109	Species	45.8
2	Greece	8	109	Species	12.9
2	Greece	8	110	Species	6.7
2	Greece	8	110	Species	6.7
2	Greece	8	110	Species	58.0
2	Greece	8	110	Species	15.7
2	Greece	8	110	Species	10.1
2	Greece	8	110	Species	116.2
2	Greece	8	110	Species	141.4
2	Greece	8	110	Species	54.5
2	Greece	8	111	Species	53.7
2	Greece	8	111	Species	104.1
2	Greece	8	111	Species	35.3
2	Greece	8	111	Species	125.4
2	Greece	8	111	Species	8.3
2	Greece	8	111	Species	125.3
2	Greece	8	111	Species	42.8
2	Greece	8	111	Species	59.4
2	Greece	18	112	Species	1.9
