site	plot	sr	fr	type	rank	biomass
Silwood	S8P082	NA	NA	REF	9	2.56
Silwood	S8P082	NA	NA	REF	2	112.63
Silwood	S8P082	NA	NA	REF	3	79.07
Silwood	S8P082	NA	NA	REF	5	27
Silwood	S8P082	NA	NA	REF	12	0.37
Silwood	S8P082	NA	NA	REF	7	4.63
Silwood	S8P082	NA	NA	REF	6	5.21
Silwood	S8P082	NA	NA	REF	10	1.64
Silwood	S8P082	NA	NA	REF	4	60.66
Silwood	S8P083	NA	NA	REF	2	161.21
Silwood	S8P083	NA	NA	REF	15	0.48
Silwood	S8P083	NA	NA	REF	7	11.26
Silwood	S8P083	NA	NA	REF	9	6.75
Silwood	S8P083	NA	NA	REF	6	16.99
Silwood	S8P083	NA	NA	REF	1	375.83
Silwood	S8P083	NA	NA	REF	5	62.41
Silwood	S8P083	NA	NA	REF	13	2.87
Silwood	S8P083	NA	NA	REF	11	5.43
Silwood	S8P083	NA	NA	REF	14	2.39
Silwood	S8P083	NA	NA	REF	12	4.55
Silwood	S8P083	NA	NA	REF	8	7.96
Silwood	S8P083	NA	NA	REF	4	65.06
Silwood	S8P083	NA	NA	REF	16	0.19
Silwood	S8P083	NA	NA	REF	3	101.8
Silwood	S8P083	NA	NA	REF	10	6.03
Silwood	S8P084	NA	NA	REF	2	412.41
Silwood	S8P084	NA	NA	REF	5	93.91
Silwood	S8P084	NA	NA	REF	3	132.97
Silwood	S8P084	NA	NA	REF	4	132.47
Silwood	S8P084	NA	NA	REF	6	19.27
Silwood	S8P084	NA	NA	REF	12	1.67
Silwood	S8P084	NA	NA	REF	7	6.76
Silwood	S8P084	NA	NA	REF	13	0.84
Silwood	S8P084	NA	NA	REF	10	3.2
Silwood	S8P084	NA	NA	REF	11	2.72
Silwood	S8P084	NA	NA	REF	9	3.41
Silwood	S8P084	NA	NA	REF	1	541.84
Silwood	S8P084	NA	NA	REF	14	0.5
Silwood	S8P084	NA	NA	REF	8	4.31
Silwood	S8P085	NA	NA	REF	2	338.83
Silwood	S8P085	NA	NA	REF	12	0.1
Silwood	S8P085	NA	NA	REF	7	2.21
Silwood	S8P085	NA	NA	REF	6	7.15
Silwood	S8P085	NA	NA	REF	1	341.75
Silwood	S8P085	NA	NA	REF	3	28.28
Silwood	S8P085	NA	NA	REF	11	0.24
Silwood	S8P085	NA	NA	REF	8	1.14
Silwood	S8P085	NA	NA	REF	10	0.71
Silwood	S8P085	NA	NA	REF	4	24.43
Silwood	S8P085	NA	NA	REF	9	0.92
Silwood	S8P085	NA	NA	REF	5	10.6
