speciescode	genus	species
L3TRIPRA1	Trifolium	pratense
L3TRIREP1	Trifolium	repens
L3VICCRA1	Vicia	cracca
L4MEDLUP1	Medicago	lupulina
L4PSOBIT1	Psoralea	bituminosa
L4SCOMUR1	Scorpiurus	muricatus
L4SECPAR1	Securigera	parviflora
L4TETPUR1	Tetragonolobus	purpureus
L4TRILAP1	Trifolium	lappaceum
L5LOTPED1	Lotus	pedunculatus
L5TRIREP1	Trifolium	repens
L6LOTCOR1	Lotus	corniculatus
L6TRIHYB1	Trifolium	hybridum
L6TRIPRA1	Trifolium	pratense
L6TRIREP1	Trifolium	repens
L7LOTCOR1	Lotus	corniculatus
L7TRIREP1	Trifolium	repens
L8LATPRA1	Lathyrus	pratensis
L8LOTCOR1	Lotus	corniculatus
L8MEDLUP1	Medicago	lupulina
L8TRIPRA1	Trifolium	pratense
L8TRIREP1	Trifolium	repens
L8VICCRA1	Vicia	cracca
L8VICHIR1	Vicia	hirsuta
L8VICSAT1	Vicia	sativa
L8VICTET1	Vicia	tetrasperma
