site	mix.nest	tempCV	meanDbar
Silwood	208	28.6	0.81
Silwood	217	24.6	1.31
Silwood	215	19.0	-0.02
Silwood	234	35.6	0.44
Silwood	227	47.6	0.77
Silwood	229	49.3	0.92
Silwood	219	54.4	0.57
Silwood	230	29.1	1.60
Silwood	222	34.1	-0.13
Silwood	229	35.6	0.13
Silwood	219	46.1	-0.05
Silwood	227	26.8	0.54
Silwood	230	16.1	0.51
Silwood	217	41.7	1.48
Silwood	220	10.4	0.27
Silwood	208	49.2	-0.05
Silwood	216	8.5	-0.08
Silwood	218	15.9	0.02
Silwood	223	5.2	0.23
Silwood	234	28.2	0.47
Silwood	224	17.2	0.38
Silwood	225	48.4	0.17
Silwood	215	28.6	-0.15
