site	sr	mix.nest	level	tempCV	tempSD	tempMean
Sweden	1	155	Group	120.9014	370.3209	306.3000
Sweden	1	155	Species	75.2997	136.8446	181.7333
Sweden	1	155	Species	120.9014	370.3209	306.3000
Sweden	1	156	Community	102.9470	10.9124	10.6000
Sweden	1	156	Community	164.0599	21.5465	13.1333
Sweden	1	156	Group	102.9470	10.9124	10.6000
Sweden	1	156	Group	164.0599	21.5465	13.1333
Sweden	1	156	Species	102.9470	10.9124	10.6000
Sweden	1	156	Species	164.0599	21.5465	13.1333
Sweden	1	157	Community	18.4725	36.1077	195.4667
Sweden	1	157	Community	72.2130	235.7515	326.4667
Sweden	1	157	Group	18.4725	36.1077	195.4667
Sweden	1	157	Group	72.2130	235.7515	326.4667
Sweden	1	157	Species	18.4725	36.1077	195.4667
Sweden	1	157	Species	72.2130	235.7515	326.4667
Sweden	1	158	Community	102.5649	6.9060	6.7333
Sweden	1	158	Community	115.8538	19.4248	16.7667
Sweden	1	158	Group	102.5649	6.9060	6.7333
Sweden	1	158	Group	115.8538	19.4248	16.7667
Sweden	1	158	Species	102.5649	6.9060	6.7333
Sweden	1	158	Species	115.8538	19.4248	16.7667
Sweden	1	159	Community	135.2189	67.5644	49.9667
Sweden	1	159	Community	132.2876	16.1391	12.2000
Sweden	1	159	Group	135.2189	67.5644	49.9667
Sweden	1	159	Group	132.2876	16.1391	12.2000
Sweden	1	159	Species	135.2189	67.5644	49.9667
Sweden	1	159	Species	132.2876	16.1391	12.2000
Sweden	1	160	Community	104.4671	73.5796	70.4333
Sweden	1	160	Community	108.9147	53.8402	49.4333
Sweden	1	160	Group	104.4671	73.5796	70.4333
Sweden	1	160	Group	108.9147	53.8402	49.4333
Sweden	1	160	Species	104.4671	73.5796	70.4333
Sweden	1	160	Species	108.9147	53.8402	49.4333
Sweden	2	161	Community	90.0683	150.7744	167.4000
Sweden	2	161	Community	78.0711	77.4985	99.2667
Sweden	2	161	Group	90.0683	150.7744	167.4000
Sweden	2	161	Group	78.0711	77.4985	99.2667
Sweden	2	161	Species	49.6242	21.0738	42.4667
Sweden	2	161	Species	136.7725	170.8745	124.9333
Sweden	2	161	Species	64.4151	4.0796	6.3333
Sweden	2	161	Species	83.5624	77.6573	92.9333
Sweden	2	162	Community	64.0415	232.2146	362.6000
Sweden	2	162	Community	84.1541	224.3549	266.6000
Sweden	2	162	Group	89.0453	44.4930	49.9667
Sweden	2	162	Group	60.0780	187.8240	312.6333
Sweden	2	162	Group	120.5871	269.5525	223.5333
Sweden	2	162	Group	158.9466	68.4530	43.0667
Sweden	2	162	Species	89.0453	44.4930	49.9667
Sweden	2	162	Species	60.0780	187.8240	312.6333
Sweden	2	162	Species	120.5871	269.5525	223.5333
Sweden	2	162	Species	158.9466	68.4530	43.0667
Sweden	2	163	Community	63.6806	15.8140	24.8333
Sweden	2	163	Community	122.0438	26.2801	21.5333
Sweden	2	163	Group	173.2051	24.5374	14.1667
Sweden	2	163	Group	94.3729	10.0664	10.6667
Sweden	2	163	Group	150.8626	5.1293	3.4000
Sweden	2	163	Group	160.4830	29.1009	18.1333
Sweden	2	163	Species	173.2051	24.5374	14.1667
Sweden	2	163	Species	94.3729	10.0664	10.6667
Sweden	2	163	Species	150.8626	5.1293	3.4000
Sweden	2	163	Species	160.4830	29.1009	18.1333
Sweden	2	164	Community	148.3215	21.5561	14.5333
Sweden	2	164	Community	109.4444	36.2261	33.1000
Sweden	2	164	Group	111.4370	5.7204	5.1333
Sweden	2	164	Group	171.3658	16.1084	9.4000
Sweden	2	164	Group	166.2327	12.3012	7.4000
Sweden	2	164	Group	97.7490	25.1215	25.7000
Sweden	2	164	Species	111.4370	5.7204	5.1333
Sweden	2	164	Species	171.3658	16.1084	9.4000
Sweden	2	164	Species	166.2327	12.3012	7.4000
Sweden	2	164	Species	97.7490	25.1215	25.7000
Sweden	2	165	Community	99.4525	195.8551	196.9333
Sweden	2	165	Community	74.3231	17.1191	23.0333
Sweden	2	165	Group	99.4525	195.8551	196.9333
Sweden	2	165	Group	74.3231	17.1191	23.0333
Sweden	2	165	Species	151.7138	205.9262	135.7333
Sweden	2	165	Species	142.0929	86.9609	61.2000
Sweden	2	165	Species	134.2879	3.4020	2.5333
Sweden	2	165	Species	99.0388	20.3030	20.5000
Sweden	2	166	Community	105.0809	164.5567	156.6000
Sweden	2	166	Community	88.0489	93.6253	106.3333
Sweden	2	166	Group	105.0809	164.5567	156.6000
Sweden	2	166	Group	88.0489	93.6253	106.3333
Sweden	2	166	Species	124.9530	169.7279	135.8333
Sweden	2	166	Species	164.9349	34.2515	20.7667
Sweden	2	166	Species	87.7291	50.7074	57.8000
Sweden	2	166	Species	100.7640	48.9041	48.5333
Sweden	4	167	Community	71.0459	291.5962	410.4333
Sweden	4	167	Community	80.9803	90.0500	111.2000
Sweden	4	167	Group	133.7492	194.4714	145.4000
Sweden	4	167	Group	100.8551	267.2996	265.0333
Sweden	4	167	Group	165.2730	87.7049	53.0667
Sweden	4	167	Group	18.2318	10.5987	58.1333
Sweden	4	167	Species	173.2051	43.8786	25.3333
Sweden	4	167	Species	126.1903	151.5125	120.0667
Sweden	4	167	Species	173.2051	4.7343	2.7333
Sweden	4	167	Species	102.9814	270.1203	262.3000
Sweden	4	167	Species	165.2730	87.7049	53.0667
Sweden	4	167	Species	173.2051	1.3856	0.8000
Sweden	4	167	Species	20.7443	11.8934	57.3333
Sweden	4	168	Community	91.3611	128.6973	140.8667
Sweden	4	168	Community	87.0581	28.8743	33.1667
Sweden	4	168	Group	152.3944	22.0464	14.4667
Sweden	4	168	Group	88.7279	112.1520	126.4000
Sweden	4	168	Group	87.5501	23.1716	26.4667
Sweden	4	168	Group	86.8626	5.8198	6.7000
Sweden	4	168	Species	152.3944	22.0464	14.4667
Sweden	4	168	Species	87.0309	56.5121	64.9333
Sweden	4	168	Species	91.8449	56.4540	61.4667
Sweden	4	168	Species	87.5501	23.1716	26.4667
Sweden	4	168	Species	173.2051	3.6950	2.1333
Sweden	4	168	Species	105.4814	4.8170	4.5667
Sweden	4	169	Community	70.5080	59.1798	83.9333
Sweden	4	169	Community	8.4664	5.2520	62.0333
Sweden	4	169	Group	62.8424	45.6445	72.6333
Sweden	4	169	Group	143.5130	16.2170	11.3000
Sweden	4	169	Group	37.5428	18.9716	50.5333
Sweden	4	169	Group	124.5301	14.3210	11.5000
Sweden	4	169	Species	63.3945	45.7708	72.2000
Sweden	4	169	Species	87.3678	0.3786	0.4333
Sweden	4	169	Species	173.2051	0.4041	0.2333
Sweden	4	169	Species	142.8921	15.8134	11.0667
Sweden	4	169	Species	39.2983	19.6622	50.0333
Sweden	4	169	Species	138.5641	0.6928	0.5000
Sweden	4	169	Species	153.0045	8.9763	5.8667
Sweden	4	169	Species	99.2232	5.5896	5.6333
Sweden	4	170	Community	48.6303	37.9316	78.0000
Sweden	4	170	Community	93.8751	105.4530	112.3333
Sweden	4	170	Group	56.7992	37.8093	66.5667
Sweden	4	170	Group	173.2051	11.0851	6.4000
Sweden	4	170	Group	140.2082	7.0571	5.0333
Sweden	4	170	Group	97.2650	107.5102	110.5333
Sweden	4	170	Group	173.2051	3.1177	1.8000
Sweden	4	170	Species	66.4935	25.8438	38.8667
Sweden	4	170	Species	115.9340	32.1137	27.7000
Sweden	4	170	Species	173.2051	11.0851	6.4000
Sweden	4	170	Species	140.2082	7.0571	5.0333
Sweden	4	170	Species	143.1642	11.9304	8.3333
Sweden	4	170	Species	112.2515	114.7211	102.2000
Sweden	4	170	Species	173.2051	3.1177	1.8000
Sweden	4	171	Community	75.7584	412.4542	544.4333
Sweden	4	171	Community	72.7973	172.6268	237.1333
Sweden	4	171	Group	78.8217	349.7844	443.7667
Sweden	4	171	Group	77.7363	6.6335	8.5333
Sweden	4	171	Group	95.1126	87.6304	92.1333
Sweden	4	171	Group	84.1903	189.4563	225.0333
Sweden	4	171	Group	116.5111	7.9228	6.8000
Sweden	4	171	Group	173.2051	9.1799	5.3000
Sweden	4	171	Species	78.8217	349.7844	443.7667
Sweden	4	171	Species	108.7676	6.6711	6.1333
Sweden	4	171	Species	155.5121	3.7323	2.4000
Sweden	4	171	Species	95.1126	87.6304	92.1333
Sweden	4	171	Species	84.1903	189.4563	225.0333
Sweden	4	171	Species	173.2051	0.1155	0.0667
Sweden	4	171	Species	116.0350	7.8130	6.7333
Sweden	4	171	Species	173.2051	9.1799	5.3000
Sweden	4	172	Community	86.9711	133.2107	153.1667
Sweden	4	172	Community	111.0127	264.2103	238.0000
Sweden	4	172	Group	173.2051	0.7506	0.4333
Sweden	4	172	Group	86.6495	118.4210	136.6667
Sweden	4	172	Group	135.7707	21.8138	16.0667
Sweden	4	172	Group	173.2051	3.0600	1.7667
Sweden	4	172	Group	158.3817	204.8932	129.3667
Sweden	4	172	Group	86.6680	92.6192	106.8667
Sweden	4	172	Species	173.2051	0.7506	0.4333
Sweden	4	172	Species	86.6495	118.4210	136.6667
Sweden	4	172	Species	173.2051	0.9815	0.5667
Sweden	4	172	Species	143.0615	22.1745	15.5000
Sweden	4	172	Species	173.2051	3.0600	1.7667
Sweden	4	172	Species	158.3817	204.8932	129.3667
Sweden	4	172	Species	130.0120	51.4848	39.6000
Sweden	4	172	Species	100.8784	67.8575	67.2667
Sweden	8	173	Community	113.1285	233.6480	206.5333
Sweden	8	173	Community	143.6943	123.5771	86.0000
Sweden	8	173	Group	141.7289	173.6179	122.5000
Sweden	8	173	Group	173.2051	0.5774	0.3333
Sweden	8	173	Group	90.6964	75.9129	83.7000
Sweden	8	173	Group	143.3615	121.9051	85.0333
Sweden	8	173	Group	173.2051	1.6743	0.9667
Sweden	8	173	Species	63.8810	9.9654	15.6000
Sweden	8	173	Species	173.2051	15.4730	8.9333
Sweden	8	173	Species	166.7935	163.4020	97.9667
Sweden	8	173	Species	173.2051	0.0577	0.0333
Sweden	8	173	Species	173.2051	0.5196	0.3000
Sweden	8	173	Species	91.8511	69.9293	76.1333
Sweden	8	173	Species	87.1679	6.5957	7.5667
Sweden	8	173	Species	173.2051	12.2398	7.0667
Sweden	8	173	Species	173.2051	118.0104	68.1333
Sweden	8	173	Species	108.6392	10.6829	9.8333
Sweden	8	173	Species	173.2051	1.6743	0.9667
Sweden	8	174	Community	68.4611	163.8729	239.3667
Sweden	8	174	Community	85.5297	103.2343	120.7000
Sweden	8	174	Group	39.5938	33.0476	83.4667
Sweden	8	174	Group	113.9689	4.0649	3.5667
Sweden	8	174	Group	86.4470	131.6876	152.3333
Sweden	8	174	Group	90.9440	23.5848	25.9333
Sweden	8	174	Group	106.6343	61.1015	57.3000
Sweden	8	174	Group	116.1435	43.5151	37.4667
Sweden	8	174	Species	39.5938	33.0476	83.4667
Sweden	8	174	Species	155.8269	4.5709	2.9333
Sweden	8	174	Species	173.2051	1.0970	0.6333
Sweden	8	174	Species	173.2051	1.6166	0.9333
Sweden	8	174	Species	86.6098	73.1853	84.5000
Sweden	8	174	Species	108.4786	52.6483	48.5333
Sweden	8	174	Species	144.5206	26.5436	18.3667
Sweden	8	174	Species	90.9440	23.5848	25.9333
Sweden	8	174	Species	173.2051	30.5996	17.6667
Sweden	8	174	Species	89.6270	35.5222	39.6333
Sweden	8	174	Species	173.2051	4.2147	2.4333
Sweden	8	174	Species	173.2051	25.2302	14.5667
Sweden	8	174	Species	67.7318	7.4505	11.0000
Sweden	8	174	Species	173.2051	16.3967	9.4667
Sweden	8	175	Community	135.9007	233.8850	172.1000
Sweden	8	175	Community	136.6205	157.6600	115.4000
Sweden	8	175	Group	166.7233	247.8620	148.6667
Sweden	8	175	Group	173.2051	1.6166	0.9333
Sweden	8	175	Group	82.8969	18.6518	22.5000
Sweden	8	175	Group	158.9854	166.8817	104.9667
Sweden	8	175	Group	173.2051	1.7321	1.0000
Sweden	8	175	Group	171.3723	16.1661	9.4333
Sweden	8	175	Species	173.2051	18.5329	10.7000
Sweden	8	175	Species	166.2243	229.3342	137.9667
Sweden	8	175	Species	173.2051	1.2124	0.7000
Sweden	8	175	Species	173.2051	0.4041	0.2333
Sweden	8	175	Species	173.2051	5.2539	3.0333
Sweden	8	175	Species	99.9039	19.4480	19.4667
Sweden	8	175	Species	173.2051	167.4316	96.6667
Sweden	8	175	Species	105.8391	8.7846	8.3000
Sweden	8	175	Species	173.2051	1.7321	1.0000
Sweden	8	175	Species	170.1031	9.4691	5.5667
Sweden	8	175	Species	173.2051	6.6973	3.8667
Sweden	12	176	Community	106.1274	396.8458	373.9333
Sweden	12	176	Community	83.0948	420.7922	506.4000
Sweden	12	176	Community	79.0674	74.1389	93.7667
Sweden	12	176	Community	22.9158	16.4994	72.0000
Sweden	12	176	Group	152.3742	185.3886	121.6667
Sweden	12	176	Group	122.5725	6.6189	5.4000
Sweden	12	176	Group	90.5852	223.6248	246.8667
Sweden	12	176	Group	121.4340	77.0701	63.4667
Sweden	12	176	Group	69.9764	0.5132	0.7333
Sweden	12	176	Group	86.4447	382.2583	442.2000
Sweden	12	176	Group	105.2500	85.9191	81.6333
Sweden	12	176	Group	173.2051	1.3279	0.7667
Sweden	12	176	Group	173.2051	19.6876	11.3667
Sweden	12	176	Group	30.9427	17.5445	56.7000
Sweden	12	176	Group	173.2051	8.1406	4.7000
Sweden	12	176	Group	63.2920	6.7089	10.6000
Sweden	12	176	Species	87.4523	8.4246	9.6333
Sweden	12	176	Species	173.2051	20.9001	12.0667
Sweden	12	176	Species	158.2868	158.2340	99.9667
Sweden	12	176	Species	173.2051	1.3279	0.7667
Sweden	12	176	Species	156.6843	7.2597	4.6333
Sweden	12	176	Species	173.2051	0.7506	0.4333
Sweden	12	176	Species	102.6551	194.5315	189.5000
